,Name,Value,Value last updated,DOB,Age,Height (m),Nationality,Citizenship,Position,Other positions,Team,Last club,Since,Joined,Contract expiration,Market value history,Transfer history
868,Anthony Elanga,€22.00m,"May 27, 2024","Apr 27, 2002",22,1.78,Sweden,[],Right Winger,,Nottm Forest,,,"Jul 25, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
869,Gabriel Martinelli,€70.00m,"May 27, 2024","Jun 18, 2001",23,1.78,Brazil,"['Brazil', 'Italy']",Left Winger,"                0
0  Centre-Forward
1    Right Winger",Arsenal,,,"Jul 2, 2019","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
870,Ki-Jana Hoever,€4.50m,"May 24, 2024","Jan 18, 2002",22,1.83,Netherlands,"['Suriname', 'Netherlands']",Right-Back,"             0
0  Centre-Back",Wolves,,,"Sep 19, 2020","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
871,Kurt Zouma,€25.00m,"May 27, 2024","Oct 27, 1994",29,1.9,France,"['France', 'Central African Republic']",Centre-Back,"            0
0  Right-Back",West Ham,,,"Aug 28, 2021","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
872,Jørgen Strand Larsen,€25.00m,"Jun 7, 2024","Feb 6, 2000",24,1.93,Norway,['Norway'],Centre-Forward,"              0
0  Right Winger
1   Left Winger",Wolves,,,"Jul 2, 2024","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
873,João Cancelo,€25.00m,"Jun 7, 2024","May 27, 1994",30,1.82,Portugal,['Portugal'],Right-Back,"           0
0  Left-Back",Man City,,,"Aug 7, 2019","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
874,Omar Richards,€2.50m,"May 30, 2024","Feb 15, 1998",26,1.74,England,[],Left-Back,,Nottm Forest,,,"Jul 10, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
875,Ben Davies,€10.00m,"May 27, 2024","Apr 24, 1993",31,1.81,Wales,[],Left-Back,,Tottenham,,,"Jul 23, 2014","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
876,Jonny Evans,€2.00m,"May 27, 2024","Jan 3, 1988",36,1.88,Northern Ireland,[],Centre-Back,,Man Utd,,,"Jul 18, 2023","Jun 30, 2024",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
877,Igor Thiago,€25.00m,"Jun 4, 2024","Jun 26, 2001",23,1.91,Brazil,"['Brazil', 'Bulgaria']",Centre-Forward,"                0
0  Second Striker",Brentford,,,"Jul 1, 2024","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
878,Enzo Fernández,€75.00m,"May 27, 2024","Jan 17, 2001",23,1.78,Argentina,['Argentina'],Central Midfield,"                    0
0  Defensive Midfield
1  Attacking Midfield",Chelsea,,,"Jan 31, 2023","Jun 30, 2032",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
879,Adam Webster,€20.00m,"May 27, 2024","Jan 4, 1995",29,1.9,England,[],Centre-Back,,Brighton,,,"Aug 3, 2019","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
880,Gabriel Jesus,€65.00m,"May 27, 2024","Apr 3, 1997",27,1.75,Brazil,['Brazil'],Centre-Forward,"              0
0   Left Winger
1  Right Winger",Arsenal,,,"Jul 4, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
881,Cheick Doucouré,€35.00m,"May 27, 2024","Jan 8, 2000",24,1.8,Mali,[],Defensive Midfield,,Crystal Palace,,,"Jul 11, 2022","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
882,Ashley Young,€500k,"May 27, 2024","Jul 9, 1985",39,1.75,England,"['England', 'Jamaica']",Left-Back,"               0
0     Right-Back
1  Left Midfield",Everton,,,"Jul 13, 2023","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
883,Gonçalo Guedes,€15.00m,"Jun 7, 2024","Nov 29, 1996",27,1.79,Portugal,[],Left Winger,,Wolves,,,"Aug 8, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
884,Amario Cozier-Duberry,€2.00m,"Dec 19, 2023","May 29, 2005",19,1.7,England,[],Right Winger,,Brighton,,,"Jul 7, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
885,Emile Smith Rowe,€22.00m,"May 27, 2024","Jul 28, 2000",23,1.82,England,['England'],Attacking Midfield,"                  0
0  Central Midfield
1     Left Midfield",Arsenal,,,"Aug 1, 2020","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
886,Louie Moulden,€175k,"Jun 28, 2024","Jan 6, 2002",22,1.9,England,[],Goalkeeper,,Wolves,,,"Jul 1, 2021","Jun 30, 2024",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
887,Kasey McAteer,€900k,"May 24, 2024","Nov 22, 2001",22,1.77,England,['England'],Right Winger,"                    0
0         Left Winger
1  Attacking Midfield",Leicester,,,"Jul 1, 2023","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
888,Eric da Silva Moreira,€1.00m,"Jun 20, 2024","May 3, 2006",18,1.85,Germany,"['Germany', 'Portugal']",Right Winger,"                0
0      Right-Back
1  Centre-Forward",Nottm Forest,,,"Jul 1, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
889,Paris Maghoma,€350k,"Dec 27, 2023","May 8, 2001",23,1.84,England,"['England', 'DR Congo']",Central Midfield,"                    0
0  Attacking Midfield",Brentford,,,"Jul 1, 2022","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
890,Sean Longstaff,€25.00m,"May 27, 2024","Oct 30, 1997",26,1.87,England,[],Central Midfield,,Newcastle,,,"Jan 1, 2019","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
891,Jacob Ramsey,€35.00m,"May 27, 2024","May 28, 2001",23,1.8,England,[],Attacking Midfield,,Aston Villa,,,"Jul 1, 2020","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
892,Ângelo,€15.00m,"Jun 3, 2024","Dec 21, 2004",19,1.8,Brazil,[],Right Winger,,Chelsea,,,"Jul 16, 2023","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
893,Josh Bowler,€1.50m,"May 24, 2024","Mar 5, 1999",25,1.84,England,['England'],Right Winger,"                    0
0         Left Winger
1  Attacking Midfield",Nottm Forest,,,"Sep 1, 2022","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
894,Carl Rushworth,€3.00m,"May 24, 2024","Jul 2, 2001",23,1.91,England,['England'],Goalkeeper,,Brighton,,,"Jul 1, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
895,Ryan Fraser,€3.00m,"May 24, 2024","Feb 24, 1994",30,1.63,Scotland,['Scotland'],Left Winger,"              0
0  Right Winger",Newcastle,,,"Sep 7, 2020","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
896,Bart Verbruggen,€18.00m,"May 27, 2024","Aug 18, 2002",21,1.94,Netherlands,['Netherlands'],Goalkeeper,,Brighton,,,"Jul 3, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
897,Manor Solomon,€13.00m,"May 27, 2024","Jul 24, 1999",24,1.7,Israel,[],Left Winger,,Tottenham,,,"Jul 11, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
898,Jannik Vestergaard,€3.00m,"May 24, 2024","Aug 3, 1992",31,1.99,Denmark,[],Centre-Back,,Leicester,,,"Aug 13, 2021","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
899,Ethan Pinnock,€12.00m,"May 27, 2024","May 29, 1993",31,1.94,Jamaica,[],Centre-Back,,Brentford,,,"Jul 2, 2019","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
900,Emil Krafth,€2.50m,"May 27, 2024","Aug 2, 1994",29,1.84,Sweden,[],Right-Back,,Newcastle,,,"Aug 8, 2019","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
901,Christian Walton,€900k,"May 24, 2024","Nov 9, 1995",28,1.95,England,[],Goalkeeper,,Ipswich,,,"Jan 19, 2022","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
902,Darwin Núñez,€70.00m,"May 27, 2024","Jun 24, 1999",25,1.87,Uruguay,[],Centre-Forward,,Liverpool,,,"Jul 1, 2022","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
903,Odysseas Vlachodimos,€7.00m,"May 27, 2024","Apr 26, 1994",30,1.91,Greece,"['Greece', 'Germany']",Goalkeeper,,Newcastle,,,"Jul 1, 2024",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
904,Callum Marshall,€2.00m,"May 24, 2024","Nov 28, 2004",19,1.72,Northern Ireland,[],Centre-Forward,,West Ham,,,"Jul 1, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
905,Mads Roerslev,€10.00m,"May 27, 2024","Jun 24, 1999",25,1.84,Denmark,[],Right-Back,,Brentford,,,"Aug 7, 2019","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
906,Heung-min Son,€45.00m,"May 27, 2024","Jul 8, 1992",32,1.84,"Korea, South","['Korea, South']",Left Winger,"                0
0  Centre-Forward
1  Second Striker",Tottenham,,,"Aug 28, 2015","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
907,Amadou Onana,€50.00m,"May 27, 2024","Aug 16, 2001",22,1.95,Belgium,[],Defensive Midfield,,Everton,,,"Aug 9, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
908,Rodrigo Bentancur,€35.00m,"May 27, 2024","Jun 25, 1997",27,1.87,Uruguay,[],Central Midfield,,Tottenham,,,"Jan 31, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
909,Toti,€20.00m,"May 27, 2024","Jan 16, 1999",25,1.87,Portugal,[],Centre-Back,,Wolves,,,"Sep 2, 2020","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
910,Murillo,€35.00m,"May 27, 2024","Jul 4, 2002",22,1.84,Brazil,[],Centre-Back,,Nottm Forest,,,"Aug 31, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
911,Caleb Okoli,€8.00m,"Jun 5, 2024","Jul 13, 2001",22,1.91,Italy,"['Italy', 'Nigeria']",Centre-Back,,Leicester,,,"Jul 9, 2024","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
912,Adama Traoré,€9.00m,"May 27, 2024","Jan 25, 1996",28,1.78,Spain,[],Right Winger,,Fulham,,,"Aug 12, 2023","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
913,Amadou Onana,€50.00m,"May 27, 2024","Aug 16, 2001",22,1.95,Belgium,"['Belgium', 'Senegal']",Defensive Midfield,"                  0
0  Central Midfield",Everton,,,"Aug 9, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
914,Alfie Gilchrist,€5.00m,"May 27, 2024","Nov 28, 2003",20,1.83,England,[],Centre-Back,,Chelsea,,,"Jan 1, 2024","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
915,Aaron Hickey,€28.00m,"May 27, 2024","Jun 10, 2002",22,1.85,Scotland,[],Right-Back,,Brentford,,,"Jul 9, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
916,Yegor Yarmolyuk,€10.00m,"May 27, 2024","Mar 1, 2004",20,1.8,Ukraine,[],Attacking Midfield,,Brentford,,,"Jul 1, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
917,Nicolás Domínguez,€17.00m,"May 27, 2024","Jun 28, 1998",26,1.79,Argentina,"['Argentina', 'Italy']",Central Midfield,"                    0
0  Defensive Midfield
1       Left Midfield",Nottm Forest,,,"Sep 1, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
918,Callum Wilson,€13.00m,"May 27, 2024","Feb 27, 1992",32,1.8,England,[],Centre-Forward,,Newcastle,,,"Sep 7, 2020","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
919,Julián Álvarez,€90.00m,"May 27, 2024","Jan 31, 2000",24,1.7,Argentina,[],Centre-Forward,,Man City,,,"Jan 31, 2022","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
920,Morgan Gibbs-White,€40.00m,"May 27, 2024","Jan 27, 2000",24,1.71,England,"['England', 'Jamaica']",Attacking Midfield,"                  0
0  Central Midfield
1      Right Winger",Nottm Forest,,,"Aug 19, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
921,Neto,€2.50m,"May 27, 2024","Jul 19, 1989",34,1.9,Brazil,"['Brazil', 'Italy']",Goalkeeper,,Bournemouth,,,"Aug 7, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
922,Wes Foderingham,€900k,"May 27, 2024","Jan 14, 1991",33,1.85,England,['England'],Goalkeeper,,West Ham,,,"Jul 1, 2024","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
923,Tyrone Mings,€13.00m,"May 27, 2024","Mar 13, 1993",31,1.96,England,['England'],Centre-Back,"           0
0  Left-Back",Aston Villa,,,"Jul 8, 2019","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
924,Mark Gillespie,€300k,"May 27, 2024","Mar 27, 1992",32,1.91,England,['England'],Goalkeeper,,Newcastle,,,"Jul 3, 2020","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
925,Gonçalo Guedes,€15.00m,"Jun 7, 2024","Nov 29, 1996",27,1.79,Portugal,['Portugal'],Left Winger,"                0
0    Right Winger
1  Second Striker",Wolves,,,"Aug 8, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
926,Leon Chiwome,€1.00m,"May 27, 2024","Jan 10, 2006",18,1.86,England,"['England', 'Zimbabwe']",Centre-Forward,,Wolves U21,,,"Jul 1, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
927,Scott Carson,€200k,"May 27, 2024","Sep 3, 1985",38,1.88,England,[],Goalkeeper,,Man City,,,"Jul 20, 2021","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
928,Stefan Ortega,€9.00m,"May 27, 2024","Nov 6, 1992",31,1.85,Germany,"['Spain', 'Germany']",Goalkeeper,,Man City,,,"Jul 1, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
929,Callum Hudson-Odoi,€18.00m,"May 27, 2024","Nov 7, 2000",23,1.78,England,[],Left Winger,,Nottm Forest,,,"Sep 1, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
930,Naouirou Ahamada,€8.00m,"May 27, 2024","Mar 29, 2002",22,1.83,France,"['France', 'Comoros']",Central Midfield,"                    0
0  Defensive Midfield",Crystal Palace,,,"Jan 31, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
931,Benoît Badiashile,€30.00m,"May 27, 2024","Mar 26, 2001",23,1.94,France,[],Centre-Back,,Chelsea,,,"Jan 5, 2023","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
932,Emerson,€12.00m,"May 27, 2024","Aug 3, 1994",29,1.76,Italy,[],Left-Back,,West Ham,,,"Aug 23, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
933,João Gomes,€35.00m,"May 27, 2024","Feb 12, 2001",23,1.76,Brazil,['Brazil'],Central Midfield,"                    0
0  Defensive Midfield",Wolves,,,"Jan 30, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
934,Jack Stephens,€2.00m,"May 24, 2024","Jan 27, 1994",30,1.85,England,['England'],Centre-Back,"                    0
0  Defensive Midfield
1          Right-Back",Southampton,,,"Jul 1, 2013","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
935,Ben Johnson,€8.00m,"May 27, 2024","Jan 24, 2000",24,1.84,England,[],Right-Back,,Ipswich,,,"Jul 1, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
936,Djed Spence,€8.00m,"Jun 5, 2024","Aug 9, 2000",23,1.84,England,"['England', 'Jamaica']",Right-Back,"                0
0  Right Midfield
1       Left-Back",Tottenham,,,"Jul 19, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
937,Tyrell Malacia,€18.00m,"May 27, 2024","Aug 17, 1999",24,1.69,Netherlands,"['Curacao', 'Netherlands']",Left-Back,,Man Utd,,,"Jul 5, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
938,Samuel Amo-Ameyaw,€300k,"May 24, 2024","Jul 18, 2006",17,1.74,England,"['England', 'Ghana']",Right Winger,"                    0
0         Left Winger
1  Attacking Midfield",Southampton,,,"Jul 1, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
939,Jeffrey Schlupp,€7.00m,"May 27, 2024","Dec 23, 1992",31,1.78,Ghana,"['Ghana', 'Germany']",Left Midfield,"                  0
0         Left-Back
1  Central Midfield",Crystal Palace,,,"Jan 13, 2017","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
940,Max Aarons,€16.00m,"May 27, 2024","Jan 4, 2000",24,1.71,England,[],Right-Back,,Bournemouth,,,"Aug 10, 2023",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
941,Guglielmo Vicario,€35.00m,"May 27, 2024","Oct 7, 1996",27,1.94,Italy,[],Goalkeeper,,Tottenham,,,"Jul 1, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
942,Giovani Lo Celso,€16.00m,"May 27, 2024","Apr 9, 1996",28,1.77,Argentina,[],Attacking Midfield,,Tottenham,,,"Jul 1, 2020","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
943,Jaidon Anthony,€6.00m,"May 24, 2024","Dec 1, 1999",24,1.83,England,[],Left Winger,,Bournemouth,,,"Aug 1, 2020","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
944,Danny Welbeck,€5.00m,"May 27, 2024","Nov 26, 1990",33,1.85,England,[],Centre-Forward,,Brighton,,,"Oct 18, 2020","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
945,Jordan Ayew,€4.00m,"May 27, 2024","Sep 11, 1991",32,1.82,Ghana,"['France', 'Ghana']",Centre-Forward,"              0
0  Right Winger
1   Left Winger",Crystal Palace,,,"Jul 25, 2019","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
946,Kyle Walker,€13.00m,"May 27, 2024","May 28, 1990",34,1.78,England,['England'],Right-Back,"             0
0  Centre-Back",Man City,,,"Jul 14, 2017","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
947,Oleksandr Zinchenko,€38.00m,"May 27, 2024","Dec 15, 1996",27,1.75,Ukraine,['Ukraine'],Left-Back,"                  0
0     Left Midfield
1  Central Midfield",Arsenal,,,"Jul 22, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
948,Dean Henderson,€12.00m,"May 27, 2024","Mar 12, 1997",27,1.88,England,[],Goalkeeper,,Crystal Palace,,,"Aug 31, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
949,Tariq Lamptey,€12.00m,"May 27, 2024","Sep 30, 2000",23,1.63,Ghana,"['England', 'Ghana']",Right-Back,"                0
0  Right Midfield
1       Left-Back",Brighton,,,"Jan 31, 2020","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
950,Facundo Buonanotte,€18.00m,"May 27, 2024","Dec 23, 2004",19,1.74,Argentina,[],Attacking Midfield,,Brighton,,,"Jan 1, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
951,Kieran Tierney,€12.00m,"Jun 7, 2024","Jun 5, 1997",27,1.8,Scotland,"['Scotland', 'Isle of Man']",Left-Back,"               0
0    Centre-Back
1  Left Midfield",Arsenal,,,"Aug 8, 2019","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
952,Chris Richards,€12.00m,"May 27, 2024","Mar 28, 2000",24,1.88,United States,[],Centre-Back,,Crystal Palace,,,"Jul 27, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
953,Jurrien Timber,€38.00m,"May 27, 2024","Jun 17, 2001",23,1.79,Netherlands,[],Centre-Back,,Arsenal,,,"Jul 14, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
954,Tariq Lamptey,€12.00m,"May 27, 2024","Sep 30, 2000",23,1.63,Ghana,[],Right-Back,,Brighton,,,"Jan 31, 2020","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
955,Ki-Jana Hoever,€4.50m,"May 24, 2024","Jan 18, 2002",22,1.83,Netherlands,[],Right-Back,,Wolves,,,"Sep 19, 2020","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
956,Scott McTominay,€32.00m,"May 27, 2024","Dec 8, 1996",27,1.91,Scotland,[],Central Midfield,,Man Utd,,,"Jul 1, 2017","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
957,Danilo,€28.00m,"May 27, 2024","Apr 29, 2001",23,1.77,Brazil,[],Defensive Midfield,,Nottm Forest,,,"Jan 16, 2023","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
958,Jamie Vardy,€1.00m,"May 24, 2024","Jan 11, 1987",37,1.79,England,[],Centre-Forward,,Leicester,,,"Jul 1, 2012","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
959,David Brooks,€8.00m,"May 24, 2024","Jul 8, 1997",27,1.73,Wales,"['England', 'Wales']",Right Winger,"                    0
0  Attacking Midfield
1      Second Striker",Bournemouth,,,"Jul 1, 2018","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
960,Tom McGill,€600k,"May 27, 2024","Mar 25, 2000",24,1.85,Canada,[],Goalkeeper,,Brighton,,,"Jul 29, 2022","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
961,Nicolas Jackson,€35.00m,"May 27, 2024","Jun 20, 2001",23,1.88,Senegal,['Senegal'],Centre-Forward,"                0
0  Second Striker
1     Left Winger",Chelsea,,,"Jul 1, 2023","Jun 30, 2031",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
962,Ben Davies,€10.00m,"May 27, 2024","Apr 24, 1993",31,1.81,Wales,['Wales'],Left-Back,"             0
0  Centre-Back",Tottenham,,,"Jul 23, 2014","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
963,Fabian Schär,€10.00m,"May 27, 2024","Dec 20, 1991",32,1.86,Switzerland,['Switzerland'],Centre-Back,,Newcastle,,,"Jul 26, 2018","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
964,Carlos Baleba,€22.00m,"May 27, 2024","Jan 3, 2004",20,1.79,Cameroon,[],Defensive Midfield,,Brighton,,,"Aug 29, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
965,Gavin Kilkenny,€300k,"Dec 19, 2023","Feb 1, 2000",24,1.75,Ireland,[],Central Midfield,,Bournemouth,,,"Aug 1, 2020","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
966,Phil Foden,€150.00m,"May 27, 2024","May 28, 2000",24,1.71,England,[],Right Winger,,Man City,,,"Jul 1, 2017","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
967,Eberechi Eze,€55.00m,"May 27, 2024","Jun 29, 1998",26,1.78,England,"['England', 'Nigeria']",Attacking Midfield,"               0
0    Left Winger
1  Left Midfield",Crystal Palace,,,"Aug 28, 2020","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
